label,timestep_index,datetime,elapsed_hours,elapsed_min,phase,area_km2,perimeter_km,n_structures_at_risk,ignition_susceptibility,ember_intrusion_risk,residential_exposure,structural_loss_index,spot_amplification,road_count,nearest_road_m,road_density_km_per_km2
ignition_001,0,2024-10-27 17:00:00,0.0,0,growth,0.016628,0.5748,42,0.3491,0.6248,0.9212,0.0256,1.0121,159.0,38.0,1.898
ignition_001,1,2024-10-27 17:30:00,0.5,30,growth,0.051791,1.0559,43,0.3491,0.6248,0.9212,0.0262,1.0123,159.0,38.0,1.898
ignition_001,2,2024-10-27 18:00:00,1.0,60,growth,0.110292,1.5525,45,0.3491,0.6248,0.9212,0.0276,1.0128,159.0,38.0,1.898
ignition_001,3,2024-10-27 18:30:00,1.5,90,growth,0.202623,2.2816,48,0.3491,0.6248,0.9212,0.0295,1.0137,159.0,38.0,1.898
ignition_001,4,2024-10-27 19:00:00,2.0,120,growth,0.283219,2.7021,53,0.3491,0.6248,0.9212,0.0327,1.0152,159.0,38.0,1.898
ignition_001,5,2024-10-27 19:30:00,2.5,150,growth,0.412997,4.2079,57,0.3491,0.6248,0.9212,0.0354,1.0164,159.0,38.0,1.898
ignition_001,6,2024-10-27 20:00:00,3.0,180,growth,0.563898,5.65,64,0.3491,0.6248,0.9212,0.0389,1.0184,159.0,38.0,1.898
ignition_001,7,2024-10-27 20:30:00,3.5,210,growth,0.695585,6.292,72,0.3491,0.6248,0.9212,0.0438,1.0207,159.0,38.0,1.898
ignition_001,8,2024-10-27 21:00:00,4.0,240,growth,0.854881,7.2382,79,0.3491,0.6248,0.9212,0.0466,1.0227,159.0,38.0,1.898
ignition_001,9,2024-10-27 21:30:00,4.5,270,growth,0.978511,7.7664,87,0.3491,0.6248,0.9212,0.0517,1.0252,159.0,38.0,1.898
ignition_001,10,2024-10-27 22:00:00,5.0,300,growth,1.094461,8.0743,94,0.3491,0.6248,0.9212,0.0541,1.0271,159.0,38.0,1.898
ignition_001,11,2024-10-27 22:30:00,5.5,330,growth,1.204783,9.1079,100,0.3491,0.6248,0.9212,0.0577,1.0289,159.0,38.0,1.898
ignition_001,12,2024-10-27 23:00:00,6.0,360,growth,1.317591,9.5278,106,0.3491,0.6248,0.9212,0.0611,1.0305,159.0,38.0,1.898
ignition_001,13,2024-10-27 23:30:00,6.5,390,growth,1.42778,9.6219,112,0.3491,0.6248,0.9212,0.0646,1.0323,159.0,38.0,1.898
ignition_001,14,2024-10-28 00:00:00,7.0,420,growth,1.511779,9.8963,118,0.3491,0.6248,0.9212,0.0679,1.034,159.0,38.0,1.898
ignition_001,15,2024-10-28 00:30:00,7.5,450,growth,1.589348,10.0553,122,0.3491,0.6248,0.9212,0.0705,1.0353,159.0,38.0,1.898
ignition_001,16,2024-10-28 01:00:00,8.0,480,growth,1.652564,10.6157,126,0.3491,0.6248,0.9212,0.0729,1.0364,159.0,38.0,1.898
ignition_001,17,2024-10-28 01:30:00,8.5,510,growth,1.690803,10.6504,130,0.3491,0.6248,0.9212,0.0748,1.0374,159.0,38.0,1.898
ignition_001,18,2024-10-28 02:00:00,9.0,540,growth,1.723016,10.8688,132,0.3491,0.6248,0.9212,0.076,1.038,159.0,38.0,1.898
ignition_001,19,2024-10-28 02:30:00,9.5,570,growth,1.74528,10.9939,133,0.3491,0.6248,0.9212,0.077,1.0385,159.0,38.0,1.898
ignition_001,20,2024-10-28 03:00:00,10.0,600,growth,1.758048,11.0796,135,0.3491,0.6248,0.9212,0.0777,1.0388,159.0,38.0,1.898
ignition_001,21,2024-10-28 03:30:00,10.5,630,growth,1.76018,11.0964,135,0.3491,0.6248,0.9212,0.0781,1.039,159.0,38.0,1.898
ignition_001,22,2024-10-28 04:00:00,11.0,660,growth,1.76018,11.0964,135,0.3491,0.6248,0.9212,0.0781,1.0391,159.0,38.0,1.898
ignition_001,23,2024-10-28 04:30:00,11.5,690,decay,1.403298,9.9803,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,24,2024-10-28 05:00:00,12.0,720,decay,1.123352,8.9295,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,25,2024-10-28 05:30:00,12.5,750,decay,0.892928,7.9611,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,26,2024-10-28 06:00:00,13.0,780,decay,0.706746,7.0827,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,27,2024-10-28 06:30:00,13.5,810,decay,0.557937,6.293,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,28,2024-10-28 07:00:00,14.0,840,decay,0.438014,5.5759,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,29,2024-10-28 07:30:00,14.5,870,decay,0.343251,4.936,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,30,2024-10-28 08:00:00,15.0,900,decay,0.26397,4.3286,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,31,2024-10-28 08:30:00,15.5,930,decay,0.185286,3.6265,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,32,2024-10-28 09:00:00,16.0,960,decay,0.117969,2.8937,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,33,2024-10-28 09:30:00,16.5,990,decay,0.069414,2.2197,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,34,2024-10-28 10:00:00,17.0,1020,decay,0.038497,1.653,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,35,2024-10-28 10:30:00,17.5,1050,decay,0.021128,1.2246,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,36,2024-10-28 11:00:00,18.0,1080,decay,0.011595,0.9072,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,37,2024-10-28 11:30:00,18.5,1110,decay,0.006363,0.6721,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,38,2024-10-28 12:00:00,19.0,1140,decay,0.003492,0.4979,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,39,2024-10-28 12:30:00,19.5,1170,decay,0.001917,0.3688,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,40,2024-10-28 13:00:00,20.0,1200,decay,0.001052,0.2732,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ignition_001,41,2024-10-28 13:30:00,20.5,1230,extinguished,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
