# STATION: LIB11,,,,,,
# STATION NAME: Meyers3400-Uplands,,,,,,
# LATITUDE: 38.89563,,,,,,
# LONGITUDE: -120.03744,,,,,,
# ELEVATION [ft]: 6961.0,,,,,,
# STATE: CA,,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour
LIB11,2024-10-27T10:00:00-0700,52.49,16.82,20.24,238.3,37.63
LIB11,2024-10-27T10:10:00-0700,52.18,18.2,22.6,241.1,39.37
LIB11,2024-10-27T10:20:00-0700,52.13,18.79,23.09,240.4,40.12
LIB11,2024-10-27T10:30:00-0700,52,18.52,20.34,241.4,36.76
LIB11,2024-10-27T10:40:00-0700,52.23,17.87,22.83,240.4,39.74
LIB11,2024-10-27T10:50:00-0700,52.01,18.17,22.38,236.2,35.89
LIB11,2024-10-27T11:00:00-0700,52.36,17.2,24.73,242.1,36.64
LIB11,2024-10-27T11:10:00-0700,51.97,18.59,27.24,243.1,44.22
LIB11,2024-10-27T11:20:00-0700,51.82,18.87,27.1,242.4,43.84
LIB11,2024-10-27T11:30:00-0700,51.55,19.08,26.23,242.3,39
LIB11,2024-10-27T11:40:00-0700,51.2,19.45,25.31,244.1,41.61
LIB11,2024-10-27T11:50:00-0700,50.93,20.41,24.98,242.6,39.99
LIB11,2024-10-27T12:00:00-0700,51.17,19.85,25.98,245.7,38.38
LIB11,2024-10-27T12:10:00-0700,51.25,20.57,25.1,249,36.89
LIB11,2024-10-27T12:20:00-0700,51.04,20.41,25.67,241.9,39.12
LIB11,2024-10-27T12:30:00-0700,51.34,22.37,21.9,242.6,34.16
LIB11,2024-10-27T12:40:00-0700,51.98,24.03,21.59,238.9,34.16
LIB11,2024-10-27T12:50:00-0700,51.94,21.87,20.46,231,33.41
LIB11,2024-10-27T13:00:00-0700,51.89,21.94,20.78,237.8,36.39
LIB11,2024-10-27T13:10:00-0700,51.62,22.2,23.65,240.7,36.39
LIB11,2024-10-27T13:20:00-0700,51.48,22.33,27.28,245,37.38
LIB11,2024-10-27T13:30:00-0700,51.1,21.38,27.41,242.2,39.12
LIB11,2024-10-27T13:40:00-0700,51.45,21.64,26.87,238.5,42.72
LIB11,2024-10-27T13:50:00-0700,51.45,21.74,23.6,236.1,41.23
LIB11,2024-10-27T14:00:00-0700,51.16,21.77,25.37,239.6,40.61
LIB11,2024-10-27T14:10:00-0700,50.53,22.81,25.67,239.3,36.89
LIB11,2024-10-27T14:20:00-0700,50.09,25.1,24.58,240.1,39.62
LIB11,2024-10-27T14:30:00-0700,50.44,25.27,23.77,234.3,39.12
LIB11,2024-10-27T14:40:00-0700,50.16,25.76,20.41,236.3,33.29
LIB11,2024-10-27T14:50:00-0700,50.38,25.15,22.42,232.9,33.78
LIB11,2024-10-27T15:00:00-0700,50.31,25.88,21.16,231.8,38.25
LIB11,2024-10-27T15:10:00-0700,50.39,24.55,21.32,229.6,33.41
LIB11,2024-10-27T15:20:00-0700,50.53,23.36,21.58,230,35.02
LIB11,2024-10-27T15:30:00-0700,50.32,23.79,20.24,230.7,35.89
LIB11,2024-10-27T15:40:00-0700,50.49,23.1,22.04,233.9,35.02
LIB11,2024-10-27T15:50:00-0700,50.58,22.87,20.33,236,35.52
LIB11,2024-10-27T16:00:00-0700,50.72,22.65,21.26,235.7,36.51
LIB11,2024-10-27T16:10:00-0700,50.67,23.65,22.75,235.7,36.27
LIB11,2024-10-27T16:20:00-0700,50.81,23.56,22,235.4,38.75
LIB11,2024-10-27T16:30:00-0700,50.84,23.88,22.05,235.4,37.88
LIB11,2024-10-27T16:40:00-0700,50.68,25.26,23.05,241.5,37.38
LIB11,2024-10-27T16:50:00-0700,49.96,28.72,19.2,243.7,31.42
LIB11,2024-10-27T17:00:00-0700,49.46,33.17,21.86,245.6,33.29
LIB11,2024-10-27T17:10:00-0700,49.92,32.27,22.43,243.1,35.02
LIB11,2024-10-27T17:20:00-0700,51.48,26.48,19.03,230.9,31.55
LIB11,2024-10-27T17:30:00-0700,51.83,25.98,19.51,231.6,32.42
LIB11,2024-10-27T17:40:00-0700,52.16,24.23,19.84,224.7,33.78
LIB11,2024-10-27T17:50:00-0700,52.38,23.72,19.86,228.1,35.65
LIB11,2024-10-27T18:00:00-0700,52.69,22.65,19.43,232,32.04
LIB11,2024-10-27T18:10:00-0700,53.05,21.64,18.04,227.7,32.42
LIB11,2024-10-27T18:20:00-0700,53.37,20.77,21.31,229.6,38.01
LIB11,2024-10-27T18:30:00-0700,53.17,21.4,25,232.5,46.08
LIB11,2024-10-27T18:40:00-0700,53.1,22.37,24.43,233,41.11
LIB11,2024-10-27T18:50:00-0700,52.8,23.75,23.13,228.4,38.25
LIB11,2024-10-27T19:00:00-0700,53,23.84,23.37,231.6,40.74
LIB11,2024-10-27T19:10:00-0700,53.16,24.16,22.65,226.4,40.24
LIB11,2024-10-27T19:20:00-0700,53.21,23.65,20.33,218,33.04
LIB11,2024-10-27T19:30:00-0700,53.5,24.36,21.56,226.4,46.33
LIB11,2024-10-27T19:40:00-0700,53.38,24.15,22.76,220.8,40.61
LIB11,2024-10-27T19:50:00-0700,53.48,23.6,23.63,227.8,43.59
LIB11,2024-10-27T20:00:00-0700,53.56,23.7,23.63,228.4,47.32
LIB11,2024-10-27T20:10:00-0700,53.91,24.19,23.55,231.1,41.36
LIB11,2024-10-27T20:20:00-0700,53.45,24.97,25.36,233.4,46.45
LIB11,2024-10-27T20:30:00-0700,53.76,25.98,20.43,227,38.75
LIB11,2024-10-27T20:40:00-0700,53.49,27.81,23.63,226.7,44.83
LIB11,2024-10-27T20:50:00-0700,53.32,28.95,22.47,228.7,39.12
LIB11,2024-10-27T21:00:00-0700,53.67,29.86,20.03,232.7,36.39
LIB11,2024-10-27T21:10:00-0700,53.85,31.34,20.26,229.1,41.86
LIB11,2024-10-27T21:20:00-0700,53.49,32.63,22.51,227.6,36.02
LIB11,2024-10-27T21:30:00-0700,53.71,33.75,22.44,232.1,38.13
LIB11,2024-10-27T21:40:00-0700,53.31,35.58,23.25,226.3,45.46
LIB11,2024-10-27T21:50:00-0700,53.44,35.08,21.92,228.9,43.22
